"wins","base_hits","singles","doubles","triples","homeruns","walks","b_strikeouts","stolen_bases","hits_allowed","homeruns_allowed","walks_allowed","p_strikeouts","errors","double_plays"
39,1445,1199,194,39,13,143,842,307,2009,84,454,1385,248,162
70,1339,908,219,22,190,685,1075,37,1347,191,689,1082,193,155
86,1377,973,232,35,137,602,917,46,1377,137,602,917,175,153
70,1387,1044,209,38,96,451,922,43,1396,97,454,928,164,156
82,1297,982,186,27,102,472,920,49,1297,102,472,920,138,168
75,1279,951,200,36,92,443,973,107,1279,92,443,973,123,149
80,1244,889,179,54,122,525,1062,80,1244,122,525,1062,136,186
85,1273,950,171,37,115,456,1027,40,1281,116,459,1033,112,136
86,1391,1040,197,40,114,447,922,69,1391,114,447,922,127,169
76,1271,944,213,18,96,441,827,72,1271,96,441,827,131,159
78,1305,1017,179,27,82,374,888,60,1364,86,391,928,119,141
68,1372,1043,203,31,95,509,801,119,1372,95,509,801,147,150
72,1332,1040,196,41,55,597,816,221,1340,55,601,821,185,165
76,1265,969,210,23,63,534,812,126,1265,63,534,812,150,139
74,1380,976,233,40,131,542,880,159,1380,131,542,880,147,137
87,1417,1055,226,28,108,539,682,86,1417,108,539,682,136,136
88,1563,1114,242,43,164,589,843,100,1563,164,589,843,135,172
66,1460,1082,239,32,107,546,900,92,1478,108,553,911,136,146
75,1390,1026,197,24,143,579,841,65,2047,211,786,1239,149,177
93,1518,1038,268,26,186,613,760,55,1518,186,613,760,106,171
70,1467,1050,241,22,154,509,835,41,1467,154,509,835,154,190
81,1363,972,211,30,150,556,928,80,1363,150,556,928,128,170
90,1364,965,215,31,153,648,902,106,1364,153,648,902,112,202
92,1387,948,236,36,167,671,860,109,1387,167,671,860,107,156
75,1406,951,257,26,172,590,926,125,1406,172,590,926,117,162
75,1458,1045,258,31,124,469,819,86,1458,124,469,819,135,175
91,1422,1032,208,37,145,429,1011,89,1422,145,429,1011,96,173
80,1448,1037,237,27,147,566,1000,69,1448,147,566,1000,140,186
81,1396,1007,245,29,115,448,928,94,1396,115,448,928,102,156
72,1306,996,202,20,88,416,882,160,1306,88,416,882,134,172
71,1399,1002,259,24,114,564,930,169,1399,114,564,930,120,161
66,1468,1025,251,23,169,566,1007,92,2068,238,797,1419,107,155
87,1553,1035,282,28,208,630,993,65,1735,232,704,1109,106,134
70,1581,1106,258,24,193,530,980,53,1591,194,533,986,129,157
84,1531,1066,279,25,161,617,953,126,1531,161,617,953,126,140
85,1530,1042,314,27,147,510,1028,93,1530,147,510,1028,106,146
70,1404,976,248,22,158,511,1022,71,1404,158,511,1022,106,156
82,1574,995,309,34,236,608,1024,93,1574,236,608,1024,134,184
75,1447,988,275,26,158,494,1001,116,1447,158,494,1001,103,142
99,1603,1086,333,32,152,462,805,117,1603,152,462,805,87,151
77,1473,1014,276,33,150,476,838,129,1473,150,476,838,105,138
92,1603,1132,272,37,162,450,942,143,1603,162,450,942,90,126
95,1520,1065,278,30,147,447,848,161,1520,147,447,848,87,139
65,1353,913,235,46,159,489,1239,73,1353,159,489,1239,100,125
100,1566,1015,289,46,216,588,1045,137,1566,216,588,1045,104,129
85,1466,961,282,44,179,535,975,97,1466,179,535,975,107,138
92,1494,967,284,35,208,587,1052,71,1494,208,587,1052,84,148
98,1471,982,283,41,165,643,1016,92,1471,165,643,1016,89,116
84,1467,965,303,47,152,531,1006,76,1467,152,531,1006,107,132
51,1401,933,295,38,135,441,1022,53,1401,135,441,1022,139,144
77,1419,910,291,27,191,606,1094,67,1419,191,606,1094,94,159
76,1506,977,331,38,160,504,965,76,1506,160,504,965,104,172
38,1672,1332,217,96,19,74,99,108,2068,52,334,272,430,88
90,1673,1331,222,56,21,134,227,303,2068,49,310,525,252,97
113,1710,1332,246,100,11,176,327,217,2060,30,475,883,259,97
104,1703,1300,266,98,39,174,428,119,2009,75,336,825,204,112
77,1502,1126,258,79,39,203,426,201,2069,75,392,822,359,104
87,1587,1242,220,96,29,258,471,282,2073,56,498,908,392,71
104,1670,1127,345,142,56,203,699,251,2060,93,336,1155,248,91
107,1551,1149,261,88,53,302,963,241,2060,77,441,1405,229,83
67,1323,1006,208,77,32,275,755,264,1914,46,398,1092,286,127
78,1502,1178,209,82,33,346,744,216,2019,46,479,1030,237,129
82,1680,1235,248,126,71,455,525,276,2073,95,609,703,406,91
85,1430,1052,202,108,68,341,633,290,1729,82,412,765,392,83
105,1583,1214,248,68,53,596,570,240,2003,67,754,721,218,137
93,1486,1159,213,76,38,646,627,264,1810,46,787,764,328,102
102,1484,1115,212,94,63,625,632,217,1742,74,734,742,420,102
108,1705,1336,224,63,82,705,367,305,2024,103,778,461,266,85
102,1758,1185,334,115,126,657,320,296,2040,155,806,393,399,125
88,1693,1312,244,70,67,618,292,246,1912,83,764,361,371,82
92,1751,1326,216,92,45,512,339,298,2073,56,633,419,318,82
114,1764,1333,282,102,55,519,322,286,2074,68,637,395,334,95
111,1665,1332,207,60,58,440,329,187,1810,63,478,358,325,108
101,1617,1289,190,96,42,459,287,197,1723,45,489,306,314,118
77,1647,1320,191,80,56,464,326,214,1933,66,545,383,318,101
86,1393,1162,168,46,17,471,569,223,1647,20,557,673,279,106
68,1344,1053,207,55,29,467,671,187,1578,34,548,826,412,104
58,1289,1049,162,53,25,335,608,151,1365,26,355,485,358,96
54,1280,1051,156,55,18,318,697,139,1346,19,335,669,327,94
53,1196,987,146,46,17,382,640,100,1283,18,410,682,362,109
63,1338,1092,155,67,24,452,588,129,1465,26,495,568,273,140
66,1292,1085,144,45,18,436,593,141,1359,19,459,614,265,95
48,1187,994,131,46,16,424,621,143,1257,17,449,703,360,107
56,1334,1066,183,52,33,380,572,161,1412,35,402,606,323,145
47,1520,1155,267,58,40,594,619,181,1631,43,637,664,372,118
55,1551,1202,240,72,37,481,731,145,1642,39,509,774,312,137
74,1414,1111,205,64,34,524,687,190,1517,36,562,737,293,88
100,1384,1057,226,64,37,532,653,147,1465,39,563,691,251,151
88,1299,974,246,61,18,585,661,129,1384,19,623,704,227,123
76,1355,1074,179,79,23,452,622,164,1435,24,479,659,237,129
69,1325,1091,140,77,17,457,572,108,1731,22,597,747,240,116
66,1400,1135,165,72,28,414,561,169,1632,33,483,654,238,129
66,1447,1151,179,92,25,410,520,94,1542,27,437,554,255,133
84,1653,1261,221,106,65,399,498,100,1750,69,422,527,211,129
56,1435,1152,172,77,34,410,478,71,1519,36,434,506,228,128
57,1531,1212,224,61,34,451,425,60,1611,36,474,447,242,165
56,1435,1149,205,55,26,375,478,78,1519,28,397,506,178,163
74,1659,1267,275,74,43,429,402,82,1757,46,454,426,234,154
70,1539,1233,223,66,17,454,371,86,1640,18,484,395,222,160
63,1576,1246,227,64,39,364,382,105,1658,41,383,402,243,137
53,1524,1171,255,43,55,473,399,64,1614,58,501,422,204,149
59,1558,1177,265,81,35,429,454,68,1639,37,451,478,215,154
74,1581,1171,259,82,69,349,418,73,1663,73,367,440,187,176
67,1438,1108,232,62,36,387,452,48,1513,38,407,475,176,148
81,1536,1138,276,56,66,365,522,38,1616,69,384,549,160,153
87,1389,1045,228,59,57,343,450,26,1461,60,361,473,137,156
84,1566,1180,250,47,89,402,472,32,1680,95,431,506,181,129
40,1478,1117,247,35,79,374,462,21,1565,84,396,489,209,107
75,1525,1190,218,47,70,455,612,24,1604,74,479,644,199,184
84,1348,1024,213,44,67,517,754,48,1437,71,551,804,167,136
68,1497,1182,213,42,60,393,530,44,1606,64,422,569,194,191
69,1456,1107,233,53,63,428,619,51,1552,67,456,660,195,180
65,1331,1006,230,21,74,519,555,54,1457,81,568,608,152,151
72,1284,991,214,38,41,497,645,59,1360,43,526,683,188,147
68,1366,979,263,41,83,480,535,39,1437,87,505,563,191,168
71,1549,1170,244,27,108,554,544,87,1651,115,590,580,206,171
86,1458,1108,252,51,47,591,496,64,1544,50,626,525,179,137
90,1519,1107,279,44,89,587,526,61,1598,94,617,553,161,130
96,1544,1103,288,52,101,710,568,46,1635,107,752,601,151,140
79,1447,1045,259,35,108,720,690,29,1522,114,757,726,157,151
87,1484,1031,259,38,156,647,648,75,1561,164,681,682,191,154
80,1457,1035,246,39,137,594,649,84,1533,144,625,683,153,165
68,1285,938,198,33,116,511,753,61,1361,123,541,797,162,151
94,1467,1050,228,43,146,495,651,57,1543,154,521,685,122,180
89,1449,970,230,58,191,530,773,44,1524,201,558,813,160,163
100,1545,1039,232,65,209,485,767,37,1625,220,510,807,126,182
89,1481,1036,224,37,184,507,794,43,1538,191,527,825,128,143
93,1465,1028,208,50,179,487,834,73,1541,188,512,877,146,144
87,1436,993,209,36,198,562,926,74,1511,208,591,974,117,160
86,1376,953,204,38,181,581,975,57,1376,181,581,975,123,154
84,1345,963,204,39,139,525,954,75,1345,139,525,954,129,161
88,1522,1057,274,32,159,486,825,53,1522,159,486,825,143,139
86,1419,952,243,28,196,408,976,64,1419,196,408,976,140,145
85,1476,1017,220,32,207,512,913,59,1476,207,512,913,154,139
77,1307,929,191,29,158,512,947,55,1307,158,512,947,138,148
81,1399,1109,179,31,80,414,782,83,1399,80,414,782,125,139
76,1495,1096,215,24,160,522,736,58,1495,160,522,736,140,118
74,1434,1069,196,18,151,560,810,49,1508,159,589,852,164,137
76,1506,1045,220,34,207,612,875,85,1515,208,616,880,167,143
88,1375,1016,202,37,120,571,772,72,1375,120,571,772,132,161
67,1331,1015,180,28,108,546,764,55,1339,109,549,769,176,148
70,1309,1027,170,30,82,589,811,74,1309,82,589,811,167,151
